chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode,xmldocversion,lastupdatetime,latitude,longitude,,,,
7290492000005,06/07/2015,NA,505,7,1,Dor Alon,NA,Am-pmאלנבי,אלנבי 115,תל אביב,6581708,0,07:00:00,32.06245,34.77334,,,,
7290492000005,06/07/2015,NA,506,6,1,Dor Alon,NA,Am-pm קינג גורג,קינג גורג 24,תל אביב,6326708,0,07:00:00,32.07191,34.77349,,,,
7290492000005,06/07/2015,NA,507,5,1,Dor Alon,NA,Am-pm 24 שנקין,שנקין 24,תל אביב,6523132,0,07:00:00,32.06927,34.77283,,,,
7290492000005,06/07/2015,NA,508,4,1,Dor Alon,NA,Am-pm  אבן גבירול,אבן גבירול 14,תל אביב,6407716,0,07:00:00,32.0727,34.78192,,,,
7290492000005,06/07/2015,NA,509,3,1,Dor Alon,NA,Am-pm זמנהוף,קינג גורג 99,תל אביב,6433831,0,07:00:00,32.07742,34.77776,,,,
7290492000005,06/07/2015,NA,510,9,1,Dor Alon,NA,Am-pm לינקולן,לינקולן 9,תל אביב,6522041,0,07:00:00,32.06692,34.78182,,,,
7290492000005,06/07/2015,NA,511,8,1,Dor Alon,NA,Am-pm  הרצל,הרצל 91,תל אביב,6655414,0,07:00:00,32.05487,34.77086,,,,
7290492000005,06/07/2015,NA,512,7,1,Dor Alon,NA,Am-pm  כל-בו שלום,אחד העם 9,תל אביב,6525101,0,07:00:00,32.06359,34.76948,,,,
7290492000005,06/07/2015,NA,513,6,1,Dor Alon,NA,Am-pm פרנקל,פרנקל 15,תל אביב,6608419,0,07:00:00,32.11152,34.79929,,,,
7290492000005,06/07/2015,NA,514,5,1,Dor Alon,NA,Am-pm גורדון,דיזנגוף 136,תל אביב,6346109,0,07:00:00,32.08215,34.77386,,,,
7290492000005,06/07/2015,NA,515,4,1,Dor Alon,NA,Am-pm שדרות ירושלים,שדרות ירושלים 11,תל אביב,6811406,0,07:00:00,32.05566,34.75978,,,,
7290492000005,06/07/2015,NA,516,3,1,Dor Alon,NA,"Am-pm הרואה ר""ג",הרואה 9,תל אביב,5242223,0,07:00:00,32.0853,34.78177,,,,
7290492000005,06/07/2015,NA,517,2,1,Dor Alon,NA,"Am-pm זבוטינסקי ר""ג",זבוטינסקי 86,תל אביב,5244215,0,07:00:00,32.08815,34.78217,,,,
7290492000005,06/07/2015,NA,518,1,1,Dor Alon,NA,"Am-pm זבוטינסקי ת""א",אבן גבירול 136,תל אביב,6296601,0,07:00:00,32.08826,34.78247,,,,
7290492000005,06/07/2015,NA,519,0,1,Dor Alon,NA,Am-pm נחלת יצחק,נחלת יצחק,תל אביב,6744809,0,07:00:00,32.0756,34.79919,,,,
7290492000005,06/07/2015,NA,521,5,1,Dor Alon,NA,Am-pm הדר דפנה,שד שאול המלך 41,תל אביב,6473302,0,07:00:00,32.07782,34.7912,,,,
7290492000005,06/07/2015,NA,522,4,1,Dor Alon,NA,Am-pmדרייב סטור,דרך  נימר 170,תל אביב,6250782,0,07:00:00,#N/A,#N/A,,,,
7290492000005,06/07/2015,NA,523,3,1,Dor Alon,NA,Am-pm טופ מרקט,דיזנגוף 224,תל אביב,6311519,0,07:00:00,32.08866,34.77539,,,,
7290492000005,06/07/2015,NA,524,2,1,Dor Alon,NA,Am-pm היי מרקט,בן יהודה 61,תל אביב,6340126,0,07:00:00,32.07952,34.76946,,,,
7290492000005,06/07/2015,NA,525,1,1,Dor Alon,NA,Am-pm אסף הרופא,צריפין,צריפין,70300,0,07:00:00,31.95712,34.84081,,,,
7290492000005,06/07/2015,NA,529,7,1,Dor Alon,NA,Am-pm בן גוריון,בן גוריון 119,בת ים,5956005,0,07:00:00,32.01454,34.73875,,,,
7290492000005,06/07/2015,NA,531,2,1,Dor Alon,NA,Am-pmכצנלסון גבעתיים,כצנלסון 129,גבעיים,5327314,0,07:00:00,32.07654,34.81588,,,,
7290492000005,06/07/2015,NA,532,1,1,Dor Alon,NA,Am-pm סלומון,סלומון 24,תל אביב,6811133,0,07:00:00,32.06132,34.77991,,,,
7290492000005,06/07/2015,NA,533,0,1,Dor Alon,NA,Am-pm י.ל פרץ,י.ל פרץ 29,תל אביב,6685402,0,07:00:00,32.05924,34.77593,,,,
7290492000005,06/07/2015,NA,534,9,1,Dor Alon,NA,Am-pm בוגרשוב,בוגרשוב 49,תל אביב,6314513,0,07:00:00,32.07594,34.77168,,,,
7290492000005,06/07/2015,NA,535,8,1,Dor Alon,NA,Am-pm שנקין59,שנקין 59,תל אביב,6523313,0,07:00:00,32.06834,34.77742,,,,
7290492000005,06/07/2015,NA,536,7,1,Dor Alon,NA,Am-pmזבוטינסקי 44,זבוטינסקי 44,רמת גן,5248504,0,07:00:00,32.08453,34.80955,,,,
7290492000005,06/07/2015,NA,537,6,1,Dor Alon,NA,Am-pm סוקולוב,סוקולוב 10,הרצליה,4649713,0,07:00:00,32.16698,34.83987,,,,
7290492000005,06/07/2015,NA,538,5,1,Dor Alon,NA,Am-pm נחלת בנימין,נחלת בנימין 85,תל אביב,6610207,0,07:00:00,32.06092,34.77262,,,,
7290492000005,06/07/2015,NA,540,0,1,Dor Alon,NA,Am-pm טברסקי,יצחק שדה 35,תל אביב,6721309,0,07:00:00,32.065,34.78867,,,,
7290492000005,06/07/2015,NA,542,8,1,Dor Alon,NA,Am-pm שד יהודית,שד יהודית 16,תל אביב,6701618,0,07:00:00,32.07004,34.79009,,,,
7290492000005,06/07/2015,NA,543,7,1,Dor Alon,NA,Am-pm כיכר רבין,אבן גבירול 72/74,תל אביב,6416203,0,07:00:00,32.08063,34.78137,,,,
7290492000005,06/07/2015,NA,544,6,1,Dor Alon,NA,Am-pm ברודצקי,ברודצקי 15,תל אביב,6905126,0,07:00:00,32.1067,34.79763,,,,
7290492000005,06/07/2015,NA,545,5,1,Dor Alon,NA,Am-pm הנשיא הרצליה,הנשיא יצחק בן צבי 75,הרצליה פיתוח,4639975,0,07:00:00,32.18055,34.81129,,,,
